City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Mlonggo,ID,79.68,overcast clouds,-6.5333,110.7,Asia Metal Art
283,Sola,VU,82.63,overcast clouds,-13.8833,167.55,Leumerus Bungalows
285,Harrison,US,80.62,scattered clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
286,Mwense,ZM,68.02,overcast clouds,-10.3845,28.698,Mwense Council Guest House
287,Barcelos,PT,66.69,light rain,41.5388,-8.6151,Hotel Restaurante Bagoeira
288,Geraldton,AU,72.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
289,Prince Rupert,CA,42.89,clear sky,54.3161,-130.3201,Crest Hotel
290,Klyuchi,RU,31.73,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
291,Tres Picos,MX,91.49,overcast clouds,15.8667,-93.5333,Tres picos Chiapas
292,Abnub,EG,66.42,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
294,Carnarvon,AU,73.47,light rain,-24.8667,113.6333,Hospitality Carnarvon
295,Caravelas,BR,83.07,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
296,Mingaora,PK,64.6,clear sky,34.7758,72.3625,Burj Al Swat
297,Braganca,BR,79.57,moderate rain,-1.0536,-46.7656,Marujo's Suíte Hotel
298,Hobyo,SO,80.26,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
299,Bangsund,NO,34.92,broken clouds,64.3968,11.3949,Michael E Achtzehn
300,Wilmington,US,60.94,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
301,Yenangyaung,MM,79.61,broken clouds,20.4667,94.8833,Hotel Country
302,Buchanan,LR,81.66,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
303,Kutum,SD,68.02,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
304,Martapura,ID,77.09,light rain,-3.4167,114.85,Montana Hotel Syariah
306,Nyimba,ZM,69.22,light rain,-14.5566,30.8149,Dali Dali Lodge
308,Sakaiminato,JP,46.38,broken clouds,35.55,133.2333,Matsuya
309,Concepcion,CL,63.14,clear sky,-36.827,-73.0498,Hotel El Araucano
310,Paamiut,GL,32.36,overcast clouds,61.994,-49.6678,Pistut
312,Bonavista,CA,37.99,clear sky,48.6499,-53.1147,Sweet Sharons bnb
313,Gizo,SB,82.63,overcast clouds,-8.103,156.8419,Imagination Island
314,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
316,Sorland,NO,31.86,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
317,Dali,CN,50.47,clear sky,25.7,100.1833,Dali Travelling With Hostel
319,Kenai,US,37.02,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
320,Kamaishi,JP,35.67,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
323,Kodigenahalli,IN,83.89,broken clouds,13.72,77.3903,S V M HER STYLE
324,Talara,PE,90.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
325,Calbuco,CL,54.41,light rain,-41.768,-73.1273,Hotel Colonial
327,Necocli,CO,81.95,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
328,Mayumba,GA,76.17,heavy intensity rain,-3.432,10.6554,LIKWALE LODGE
329,La Reforma,MX,81.7,clear sky,25.0833,-108.05,Hotel Reforma
330,Kiama,AU,68.38,moderate rain,-34.6833,150.8667,The Sebel Kiama Harbourside
331,Constantine,DZ,62.01,scattered clouds,36.365,6.6147,Grand Hotel Cirta
333,Ponta Delgada,PT,63.32,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
334,Martil,MA,58.96,mist,35.6166,-5.2752,فندق مرتيل
335,West Helena,US,64.08,few clouds,34.5507,-90.6418,Best Western Inn
336,Vanimo,PG,77.02,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
337,Port Moresby,PG,72.82,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
338,Boffa,GN,81.5,clear sky,10.1667,-14.0333,Hôtel Niara Belly
339,Narsaq,GL,46.62,broken clouds,60.9167,-46.05,Sleep In Narsaq
340,Fortuna,US,60.91,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
341,San Ramon,US,61.39,clear sky,37.7799,-121.978,San Ramon Marriott
342,Kaeo,NZ,57.33,few clouds,-35.1,173.7833,Bushido Lodge
343,Svetlogorsk,BY,51.44,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
344,Taganak,PH,77.14,overcast clouds,6.0833,118.3,Taganak
345,Kribi,CM,81.19,overcast clouds,2.95,9.9167,La Grace Hôtel
346,Lakhipur,IN,73.85,clear sky,26.0299,90.3041,Rajdhani Hotel
347,Heihe,CN,32.58,overcast clouds,50.2441,127.4902,Hotel Strannik
348,Marawi,PH,67.77,overcast clouds,7.9986,124.2928,Derogongan Residence
349,Fairbanks,US,31.98,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
351,Trincomalee,LK,80.13,clear sky,8.5711,81.2335,Welcombe Hotel
353,Quatre Cocos,MU,78.91,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
354,Uige,AO,66.58,broken clouds,-7.6087,15.0613,Hotel Catraio
355,Lufkin,US,81.84,scattered clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
358,Faanui,PF,82.17,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
359,Soure,BR,80.08,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
360,Carbondale,US,50.05,clear sky,37.7273,-89.2168,Best Western Saluki Inn
361,Morondava,MG,81.28,light rain,-20.2833,44.2833,La Case Bambou
364,La Gomera,GT,92.91,broken clouds,14.0833,-91.05,Cede.E.T.V
366,Ryazhsk,RU,37.0,overcast clouds,53.7038,40.1109,"Hotel, Children's center, Cafe."
367,Portland,US,61.84,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
368,Homer,US,40.8,scattered clouds,59.6425,-151.5483,Beluga Lake Lodge
369,Lazaro Cardenas,MX,84.07,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
371,Makakilo City,US,75.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
372,Mattru,SL,80.49,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
373,Beyneu,KZ,31.98,few clouds,45.3167,55.2,NUR
374,Deming,US,73.29,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
375,Mahibadhoo,MV,81.95,clear sky,3.7833,72.9667,Omadhoo Inn
376,Mayo,US,41.22,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
377,Stara Synyava,UA,47.89,overcast clouds,49.6032,27.6191,Готель Стара Синява LEX
378,Coahuayana,MX,89.28,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
379,Marsh Harbour,BS,74.01,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
380,Kibala,TD,89.55,clear sky,9.1104,18.3463,hotel safari
381,Lebu,CL,61.52,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
382,Inhambane,MZ,73.38,few clouds,-23.865,35.3833,Oceano
384,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
385,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
386,Nanortalik,GL,34.11,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
387,Gat,IL,67.41,clear sky,31.61,34.7642,OlusHome
