,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Douglas,US,41.3,-96.167,51.75,33,0,19.57,clear sky
273,Rosita,NI,13.9268,-84.4032,89.11,42,89,4.56,overcast clouds
274,Saint Anthony,US,45.0205,-93.218,38.66,27,0,8.05,clear sky
275,Saint-Georges,GD,12.0564,-61.7485,85.68,62,20,20.71,few clouds
276,Kargil,IN,34.5667,76.1,26.13,69,7,3.24,clear sky
277,Chokurdakh,RU,70.6333,147.9167,-15.09,100,78,5.61,broken clouds
278,Konya,TR,38.1667,32.5,41.85,54,100,5.53,overcast clouds
279,Plaster Rock,CA,46.9065,-67.39,32.59,88,100,11.16,light snow
280,Oriximina,BR,-1.7656,-55.8661,78.58,92,100,4.97,overcast clouds
281,Gari,RU,59.4307,62.3497,31.68,97,100,8.66,overcast clouds
282,Mlonggo,ID,-6.5333,110.7,79.68,82,100,4.36,overcast clouds
283,Sola,VU,-13.8833,167.55,82.63,76,100,10.31,overcast clouds
284,Tommot,RU,58.9564,126.2925,16.72,95,100,6.69,light snow
285,Harrison,US,30.4091,-89.0436,80.62,68,40,9.22,scattered clouds
286,Mwense,ZM,-10.3845,28.698,68.02,94,100,4.52,overcast clouds
287,Barcelos,PT,41.5388,-8.6151,66.69,77,96,4.18,light rain
288,Geraldton,AU,-28.7667,114.6,72.01,88,100,11.5,overcast clouds
289,Prince Rupert,CA,54.3161,-130.3201,42.89,81,0,5.75,clear sky
290,Klyuchi,RU,52.2667,79.1667,31.73,98,100,7.4,overcast clouds
291,Tres Picos,MX,15.8667,-93.5333,91.49,39,100,9.1,overcast clouds
292,Abnub,EG,27.2696,31.1511,66.42,14,0,10.04,clear sky
293,Aleksandrov Gay,RU,50.147,48.5704,19.04,84,38,10.63,scattered clouds
294,Carnarvon,AU,-24.8667,113.6333,73.47,88,75,21.85,light rain
295,Caravelas,BR,-17.7125,-39.2481,83.07,66,78,8.43,broken clouds
296,Mingaora,PK,34.7758,72.3625,64.6,33,0,6.98,clear sky
297,Braganca,BR,-1.0536,-46.7656,79.57,92,100,4.92,moderate rain
298,Hobyo,SO,5.3505,48.5268,80.26,69,48,16.31,scattered clouds
299,Bangsund,NO,64.3968,11.3949,34.92,60,75,9.22,broken clouds
300,Wilmington,US,34.2257,-77.9447,60.94,35,0,13.8,clear sky
301,Yenangyaung,MM,20.4667,94.8833,79.61,70,66,3.87,broken clouds
